paper_id,year,has_abstract,title,citation_count
c532d85530fc7198c4f0b08e0c748e3aeb4861df,2014,False,"GeoVisual analytics, time to focus on time",3
e09049ae7d2d5acde5f844b682f32973f4480dc9,2014,False,GeoViz: interactive maps that help people think,17
f318cbc1080a3d16e3cc8afaae2239772930bfea,2014,False,Visualization of Trajectory Attributes in Space–Time Cube and Trajectory Wall,49
f42b64a70b1a0b7b51ddfd3297d4177a36686603,2014,False,Towards (Re)Constructing Narratives from Georeferenced Photographs through Visual Analytics,51
0b954026b40001ead505eced1ef72b1aa43fa29c,2013,False,Visual task solution strategies in tree diagrams,57
0ee742275e6d524d9d0ba8a5ce587de7ca3d7512,2013,False,Transformations of Movement Data,2
137814202e78e67b3eae6670e08004e2c82a37fb,2013,False,Space Transformation for Understanding Group Movement,73
139cff5049c41dbad5d469ead69857fd967f9f1f,2013,False,Thematic Patterns in Georeferenced Tweets through Space-Time Visual Analytics,111
156e151cd9d4d4d228ff12f71d101c5e905d858c,2013,False,Opening up the “black box” of medical image segmentation with statistical shape models,0
167aeb322f846733e1c074c5eddd4ab6c40b2436,2013,False,Visual Analytics Focusing on Space,1
1c01b1dc363af9a57f30f90cae9faf5ced232b9e,2013,False,Differential Privacy in Distributed Mobility Analytics,0
1c80b387d91c0eeb422964604192666c20be3290,2013,False,Towards Acquisition of Semantics of Places and Events by Multi-perspective Analysis of Geotagged Photo Collections,37
29ef4ae35b74a3d4de26b493aeb588e98d361d6b,2013,False,Air Traffic Analysis,7
2a0a90454e9d33db2c8cd37c50acfe8df7af0466,2013,False,Exploring Trajectory Attributes in Brest Harbor,0
2ffdd682100a1dd70eb4e898408adc84c06c53ed,2013,False,Visual Analytics of Movement,315
30d50ea0f051c43f3d95a0808abf35c123ad2897,2013,False,Towards Privacy-Preserving Semantic Mobility Analysis,18
3f028e8b8527d409c7dacfd6437a3308026b4c27,2013,False,Visual Analytics Focusing on Spatial Events,10
422d0218b79926c5432ff713ae418cf605926fe2,2013,False,Discussion and Outlook,3
4300014db3cbbd1ffea49999ffd0b50d8b4e94dd,2013,False,Using Bluetooth to track mobility patterns: depicting its potential based on various case studies,17
4a6d09088b69d972ec43123ff3bbdbabe0a7cdb1,2013,False,Visual Analytics Focusing on Time,0
